Product_ID,Product,Price_20kg,Stock
1000,Mango,607,808
1002,Banana,831,893
1004,Guava,642,835
1006,Pomegranate,943,985
1008,Papaya,576,999
1010,Jackfruit,751,637
1012,Sapota,645,579
1014,Custard Apple,766,839
1016,Indian Gooseberry,941,545
1018,Lychee,841,561
1020,Pineapple,753,741
1022,Grapes,800,629
1024,Watermelon,610,956
1026,Orange,806,992
1028,Apple,628,825
1030,Pear,756,532
1032,Plum,758,839
1034,Apricot,939,512
1036,Fig,719,653
1038,Okra,601,766
1040,Brinjal,843,673
1042,Tomato,884,661
1044,Onion,950,669
1046,Potato,724,951
1048,Cauliflower,673,542
1050,Spinach,828,669
1052,Lady's Finger,939,546
1054,Radish,551,761
1056,Carrot,507,872
1058,Cabbage,674,539
1060,Chilli,595,664
1062,Bitter Gourd,776,511
1064,Ridge Gourd,920,948
1066,Coriander Leaves,946,541
1068,Bottle Gourd,888,686
1070,Green Peas,843,864
1072,Green Beans,820,981
1074,Drumstick,736,870
1076,Beetroot,896,903
1078,Cucumber,692,621
1080,Pumpkin,675,988
1082,Turnip,919,742
1084,Sweet Potato,561,689
1086,Amaranth,655,984
1088,Cluster Beans,732,803
1090,Snake Gourd,572,689
1092,Lemon,791,782
1094,Ginger,724,666
1096,Garlic,638,702
1098,Green Bell Pepper,732,833
1100,Ash Gourd,868,587
1102,Fenugreek Leaves,618,576
1104,Mint Leaves,931,502
1106,Curry Leaves,853,951
1108,Radish Leaves,642,579
1110,Mustard Leaves,802,560
1112,Pointed Gourd,798,683
1114,Red Bell Pepper,553,632
1116,Turmeric,566,920
1118,Black Eyed Peas,686,594
1120,Elephant Foot Yam,530,503
1122,Taro Root,636,927
1124,Arbi,545,861
1126,Bottle Gourd Leaves,572,682
1128,Red Pumpkin,887,511
1130,Cluster Fig,710,906
1132,Ridge Gourd Leaves,969,682
1134,Colocasia Leaves,664,754
1136,Banana Flower,660,593
1138,Ivy Gourd,686,999
1140,Malabar Spinach,910,951
1142,Yardlong Bean,611,841
1144,Chayote,610,865
1146,Black Cumin Seeds,540,794
1148,Green Sorrel,930,587
1150,Jute Mallow,961,641
1152,Water Spinach,926,575
1154,Amaranth Leaves,838,895
1156,Dill Leaves,677,786
1158,Purslane,781,937
1160,Fenugreek Seeds,947,694
1162,Cluster Fig Leaves,576,846
1164,Curry Plant,557,888
1166,Black Gram,812,878
1168,Lentils,803,958
1170,Chickpeas,603,831
1172,Pigeon Peas,757,910
1174,Green Gram,724,628
