Product_ID,Product,Price_20kg,Stock
1000,Mango,753,964
1002,Banana,601,579
1004,Guava,846,611
1006,Pomegranate,693,882
1008,Papaya,961,745
1010,Jackfruit,975,600
1012,Sapota,979,618
1014,Custard Apple,541,743
1016,Indian Gooseberry,951,894
1018,Lychee,547,836
1020,Pineapple,731,918
1022,Grapes,875,617
1024,Watermelon,711,625
1026,Orange,818,781
1028,Apple,840,761
1030,Pear,683,844
1032,Plum,737,803
1034,Apricot,612,562
1036,Fig,534,729
1038,Okra,783,702
1040,Brinjal,795,602
1042,Tomato,726,818
1044,Onion,762,798
1046,Potato,657,659
1048,Cauliflower,934,546
1050,Spinach,727,662
1052,Lady's Finger,759,501
1054,Radish,849,755
1056,Carrot,511,911
1058,Cabbage,649,929
1060,Chilli,690,855
1062,Bitter Gourd,793,560
1064,Ridge Gourd,960,909
1066,Coriander Leaves,534,682
1068,Bottle Gourd,579,749
1070,Green Peas,722,560
1072,Green Beans,851,791
1074,Drumstick,706,741
1076,Beetroot,957,592
1078,Cucumber,847,877
1080,Pumpkin,919,927
1082,Turnip,722,840
1084,Sweet Potato,748,725
1086,Amaranth,893,552
1088,Cluster Beans,891,645
1090,Snake Gourd,787,993
1092,Lemon,643,950
1094,Ginger,664,582
1096,Garlic,674,866
1098,Green Bell Pepper,896,808
1100,Ash Gourd,698,748
1102,Fenugreek Leaves,884,912
1104,Mint Leaves,637,743
1106,Curry Leaves,687,929
1108,Radish Leaves,641,708
1110,Mustard Leaves,659,900
1112,Pointed Gourd,568,624
1114,Red Bell Pepper,506,704
1116,Turmeric,950,676
1118,Black Eyed Peas,778,878
1120,Elephant Foot Yam,972,554
1122,Taro Root,836,639
1124,Arbi,839,924
1126,Bottle Gourd Leaves,508,513
1128,Red Pumpkin,814,956
1130,Cluster Fig,819,693
1132,Ridge Gourd Leaves,621,680
1134,Colocasia Leaves,962,563
1136,Banana Flower,529,523
1138,Ivy Gourd,525,732
1140,Malabar Spinach,932,792
1142,Yardlong Bean,526,571
1144,Chayote,538,781
1146,Black Cumin Seeds,899,599
1148,Green Sorrel,992,812
1150,Jute Mallow,562,938
1152,Water Spinach,780,922
1154,Amaranth Leaves,927,548
1156,Dill Leaves,770,936
1158,Purslane,858,794
1160,Fenugreek Seeds,733,910
1162,Cluster Fig Leaves,936,607
1164,Curry Plant,546,524
1166,Black Gram,837,813
1168,Lentils,885,565
1170,Chickpeas,832,653
1172,Pigeon Peas,548,868
1174,Green Gram,528,532
