Product_ID,Product,Price_20kg,Stock
1000,Mango,771,915
1002,Banana,622,712
1004,Guava,720,917
1006,Pomegranate,577,585
1008,Papaya,617,902
1010,Jackfruit,678,540
1012,Sapota,715,541
1014,Custard Apple,706,996
1016,Indian Gooseberry,549,933
1018,Lychee,946,831
1020,Pineapple,735,708
1022,Grapes,681,947
1024,Watermelon,771,959
1026,Orange,634,765
1028,Apple,566,792
1030,Pear,606,882
1032,Plum,847,820
1034,Apricot,675,607
1036,Fig,924,640
1038,Okra,984,672
1040,Brinjal,666,543
1042,Tomato,955,826
1044,Onion,793,904
1046,Potato,618,543
1048,Cauliflower,686,864
1050,Spinach,546,962
1052,Lady's Finger,869,739
1054,Radish,708,944
1056,Carrot,818,955
1058,Cabbage,851,698
1060,Chilli,759,993
1062,Bitter Gourd,660,784
1064,Ridge Gourd,995,723
1066,Coriander Leaves,587,878
1068,Bottle Gourd,791,765
1070,Green Peas,855,941
1072,Green Beans,905,569
1074,Drumstick,982,884
1076,Beetroot,627,803
1078,Cucumber,993,770
1080,Pumpkin,503,519
1082,Turnip,765,601
1084,Sweet Potato,922,583
1086,Amaranth,885,783
1088,Cluster Beans,990,558
1090,Snake Gourd,853,606
1092,Lemon,792,861
1094,Ginger,691,611
1096,Garlic,748,944
1098,Green Bell Pepper,714,652
1100,Ash Gourd,946,732
1102,Fenugreek Leaves,585,611
1104,Mint Leaves,796,858
1106,Curry Leaves,801,881
1108,Radish Leaves,925,859
1110,Mustard Leaves,737,736
1112,Pointed Gourd,862,942
1114,Red Bell Pepper,909,900
1116,Turmeric,511,519
1118,Black Eyed Peas,782,819
1120,Elephant Foot Yam,729,750
1122,Taro Root,928,530
1124,Arbi,687,620
1126,Bottle Gourd Leaves,750,915
1128,Red Pumpkin,869,570
1130,Cluster Fig,952,541
1132,Ridge Gourd Leaves,818,626
1134,Colocasia Leaves,836,760
1136,Banana Flower,614,989
1138,Ivy Gourd,860,906
1140,Malabar Spinach,587,893
1142,Yardlong Bean,925,748
1144,Chayote,681,717
1146,Black Cumin Seeds,989,580
1148,Green Sorrel,828,861
1150,Jute Mallow,952,936
1152,Water Spinach,607,948
1154,Amaranth Leaves,666,620
1156,Dill Leaves,871,635
1158,Purslane,702,887
1160,Fenugreek Seeds,971,555
1162,Cluster Fig Leaves,689,851
1164,Curry Plant,582,611
1166,Black Gram,901,742
1168,Lentils,777,706
1170,Chickpeas,609,825
1172,Pigeon Peas,938,629
1174,Green Gram,771,883
