Product_ID,Product,Price_20kg,Stock
1000,Mango,871,777
1001,Banana,798,872
1002,Guava,703,880
1003,Pomegranate,727,673
1004,Papaya,729,528
1005,Jackfruit,764,895
1006,Sapota,784,563
1007,Custard Apple,576,969
1008,Indian Gooseberry,526,583
1009,Lychee,968,606
1010,Pineapple,762,891
1011,Grapes,513,575
1012,Watermelon,986,750
1013,Orange,622,909
1014,Apple,976,871
1015,Pear,581,646
1016,Plum,814,945
1017,Apricot,978,539
1018,Fig,506,867
1019,Okra,750,827
1020,Brinjal,545,585
1021,Tomato,823,671
1022,Onion,736,517
1023,Potato,515,574
1024,Cauliflower,842,584
1025,Spinach,946,585
1026,Lady's Finger,510,722
1027,Radish,570,603
1028,Carrot,923,853
1029,Cabbage,732,990
1030,Chilli,827,615
1031,Bitter Gourd,869,673
1032,Ridge Gourd,806,561
1033,Coriander Leaves,879,895
1034,Bottle Gourd,802,873
1035,Green Peas,645,758
1036,Green Beans,922,646
1037,Drumstick,926,947
1038,Beetroot,632,903
1039,Cucumber,540,559
1040,Pumpkin,537,586
1041,Turnip,731,954
1042,Sweet Potato,661,522
1043,Amaranth,588,502
1044,Cluster Beans,889,982
1045,Snake Gourd,922,526
1046,Lemon,723,931
1047,Ginger,836,793
1048,Garlic,693,719
1049,Green Bell Pepper,536,793
1050,Ash Gourd,841,725
1051,Fenugreek Leaves,976,702
1052,Mint Leaves,885,763
1053,Curry Leaves,790,780
1054,Radish Leaves,597,666
1055,Mustard Leaves,616,902
1056,Pointed Gourd,947,791
1057,Red Bell Pepper,594,684
1058,Turmeric,573,704
1059,Black Eyed Peas,846,919
1060,Elephant Foot Yam,879,577
1061,Taro Root,910,593
1062,Arbi,725,737
1063,Bottle Gourd Leaves,846,774
1064,Red Pumpkin,735,955
1065,Cluster Fig,940,975
1066,Ridge Gourd Leaves,541,829
1067,Colocasia Leaves,903,657
1068,Banana Flower,520,602
1069,Ivy Gourd,730,996
1070,Malabar Spinach,821,679
1071,Yardlong Bean,850,538
1072,Chayote,980,559
1073,Black Cumin Seeds,571,900
1074,Green Sorrel,525,941
1075,Jute Mallow,773,793
1076,Water Spinach,609,834
1077,Amaranth Leaves,987,590
1078,Dill Leaves,751,793
1079,Purslane,525,818
1080,Fenugreek Seeds,721,812
1081,Cluster Fig Leaves,820,804
1082,Curry Plant,575,661
1083,Black Gram,864,511
1084,Lentils,616,579
1085,Chickpeas,709,759
1086,Pigeon Peas,637,801
1087,Green Gram,541,970
